the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.99467399999997 35.06488400000006),643,6530,DIRVANNN,DIRECTORS@VANGUARD,-89.994674,35.064884,25,,12,5
POINT (-89.89630099999994 35.183283000000074),570,1120,COVCOVNF,COVINGTON PIKE@COVINGTON WAY,-89.896301,35.183283,24,,2,1
POINT (-89.92131499999994 35.06986400000005),1004,2720,GOOCOTSN,GOODLETT ST@COTTONWOOD,-89.921315,35.069864,17,,11,5
POINT (-89.93671799999998 35.005513000000064),970,6946,GETHOLNN,GETWELL@HOLMES,-89.936718,35.005513,17,,11,3
POINT (-89.98198299999996 35.21852400000006),871,6875,FRADEBEN,FRAYSER@DEBBY,-89.981983,35.218524,23,,1,1
POINT (-89.95956799999999 35.17380600000007),451,4583,CHESUNEN,CHELSEA AVE@SUNSET,-89.959568,35.173806,8,,7,7
POINT (-90.02285799999999 35.06480000000005),742,5132,ELVSPRSF,ELVIS PRESLEY@SPRING BROOK,-90.022858,35.0648,6,,12,6
POINT (-89.96950399999997 35.09416100000004),1520,5757,LAMPENEF,LAMAR@PENDLETON,-89.969504,35.094161,13,,5,5
POINT (-89.96429599999999 35.04462600000005),2965,7153,SWICHRSF,SWINNEA@CHRISTINE,-89.964296,35.044626,17,,11,3
POINT (-89.93258799999995 35.06632900000005),976,2659,GETKNISM,GETWELL RD@KNIGHT ARNOLD,-89.932588,35.066329,17,,11,5
POINT (-90.03583299999997 35.17799900000006),3142,678,THOHURIB,THOMAS ST@HURON,-90.035833,35.177999,7,,7,7
POINT (-89.95932299999998 35.161392000000035),1290,3738,JACPOPSF,JACKSON AVE@POPE,-89.959323,35.161392,8,,7,7
POINT (-90.01103899999998 35.136363000000074),3228,3007,UNIWILWF,UNION AVE@WILLETT ST,-90.011039,35.136363,4,,8,4
POINT (-90.05124299999994 35.116933000000074),851,4836,FOUEDISF,FOURTH@EDITH,-90.051243,35.116933,22,,14,6
POINT (-90.04867599999994 35.023239000000046),1085,5448,HODBERNN,HODGE@BERTA,-90.048676,35.023239,9,,13,6
POINT (-89.93691499999994 35.01950100000005),988,2519,GETSHESF,GETWELL@SHELBY,-89.936915,35.019501,17,,11,3
